score,balls,position,out,year
38,35,2,1,2016
52,32,1,1,2016
0,0,-1,0,2016
23,14,2,1,2016
42,25,2,1,2016
0,0,-1,0,2016
11,9,4,1,2016
0,1,4,1,2016
38,23,4,1,2016
51,35,4,0,2016
68,53,4,0,2016
51,28,2,1,2016
16,6,4,0,2016
7,10,2,1,2016
60,27,1,1,2018
7,11,1,1,2018
47,30,1,1,2018
32,26,1,1,2018
95,70,1,0,2018
21,15,1,1,2018
51,16,1,1,2018
94,60,1,1,2018
66,29,1,1,2018
84,54,1,0,2018
24,20,1,1,2018
37,22,1,1,2018
23,15,1,1,2018
18,21,1,1,2018
15,11,1,1,2019
71,36,1,1,2019
18,15,1,1,2019
42,27,1,1,2019
2,7,2,1,2019
4,4,1,1,2019
1,5,1,1,2019
55,47,1,1,2019
100,64,1,0,2019
79,56,1,1,2019
12,9,1,1,2019
71,53,1,0,2019
71,57,1,0,2019
52,47,1,1,2019
77,51,1,1,2020
28,25,1,1,2020
27,27,1,1,2020
63,52,1,1,2020
17,19,1,1,2020
29,27,1,1,2020
46,41,1,1,2020
11,16,1,1,2020
69,54,1,1,2020
15,11,1,1,2020
74,58,1,1,2020
132,69,1,0,2020
21,19,1,1,2020
61,49,1,0,2020
91,57,1,0,2021
4,6,1,1,2021
39,35,1,1,2021
61,51,1,1,2021
67,55,1,1,2021
21,21,1,1,2021
60,52,1,0,2021
19,20,1,1,2021
21,22,1,1,2021
49,33,1,1,2021
91,50,1,1,2021
5,7,1,0,2021
98,42,1,0,2021
