score,balls,position,out,year
1,3,2,1,2018
1,2,4,1,2018
0,0,-1,0,2018
10,7,5,1,2018
65,34,4,1,2018
0,0,-1,0,2019
18,9,6,0,2019
32,18,5,1,2019
0,2,5,0,2019
66,28,4,1,2019
4,5,4,1,2019
2,8,5,0,2019
9,8,3,1,2019
26,16,6,1,2019
50,32,4,1,2019
13,7,2,0,2019
1,2,5,1,2020
0,1,5,1,2020
11,13,5,1,2020
46,31,3,1,2021
25,12,3,1,2021
58,36,3,1,2021
0,6,3,1,2021
32,28,3,1,2021
37,20,4,0,2021
26,20,3,1,2021
15,8,3,1,2021
17,17,3,1,2021
16,12,6,1,2021
36,24,3,1,2021
23,18,3,1,2021
5,8,4,1,2021
21,17,4,0,2021
0,3,3,1,2021
