index,score,balls,position,out,date,year
2,4,4,2,1,2018-04-08,2018
6,45,34,1,1,2018-04-13,2018
0,26,19,2,1,2018-04-15,2018
3,19,12,2,1,2018-04-17,2018
7,18,16,1,0,2018-04-21,2018
1,53,37,1,1,2018-04-25,2018
4,29,27,1,1,2018-04-29,2018
5,7,13,2,1,2018-05-01,2018
12,27,16,2,1,2019-03-24,2019
2,23,20,1,1,2019-03-28,2019
5,60,39,2,1,2019-03-30,2019
1,4,7,1,1,2019-04-03,2019
4,19,18,2,1,2019-04-06,2019
14,24,23,1,1,2019-04-10,2019
3,81,52,2,1,2019-04-13,2019
6,40,26,1,1,2019-04-15,2019
15,35,27,2,0,2019-04-18,2019
7,65,47,1,1,2019-04-20,2019
13,15,9,2,1,2019-04-26,2019
8,0,4,1,1,2019-04-28,2019
11,69,58,2,0,2019-05-02,2019
10,30,23,1,1,2019-05-05,2019
0,8,12,2,1,2019-05-07,2019
9,29,17,1,1,2019-05-12,2019
7,33,20,2,1,2020-09-19,2020
11,1,3,1,1,2020-09-23,2020
14,14,15,2,1,2020-09-28,2020
9,0,5,1,1,2020-10-01,2020
8,67,39,2,1,2020-10-04,2020
3,23,15,1,1,2020-10-06,2020
2,53,36,2,1,2020-10-11,2020
5,78,44,2,0,2020-10-16,2020
0,53,43,2,1,2020-10-18,2020
12,46,37,1,0,2020-10-23,2020
15,6,4,2,1,2020-10-25,2020
1,18,19,1,1,2020-10-28,2020
10,26,28,2,1,2020-10-31,2020
6,25,13,2,1,2020-11-03,2020
4,40,25,1,1,2020-11-05,2020
13,20,12,2,1,2020-11-10,2020
0,2,6,2,1,2021-04-13,2021
10,40,39,1,1,2021-04-17,2021
6,2,4,2,1,2021-04-20,2021
2,3,5,1,1,2021-04-23,2021
5,70,50,2,0,2021-04-29,2021
9,38,28,1,1,2021-05-01,2021
1,17,12,1,1,2021-09-19,2021
3,55,42,2,1,2021-09-23,2021
7,24,23,2,1,2021-09-26,2021
4,27,29,2,1,2021-09-28,2021
8,19,18,2,1,2021-10-02,2021
